H	355_Anlg	353_Anlg	460_Anlg	532_Anlg	530_Anlg	355_Anlg_Molec	532_Anlg_Molec		MolecExt355_Anlg	MolecBack355_Anlg	MolecExt353_Anlg	MolecBack353_Anlg	MolecExt460_Anlg	MolecBack460_Anlg	MolecExt532_Anlg	MolecBack532_Anlg	MolecExt530_Anlg	MolecBack530_Anlg
5951.25	0.011976133	0.0025648435	9.1311956E-6	0.0072536182	0.0019277725	0.011806982	0.0071429628		5.1085731E-5	6.0140145E-6	5.2312183E-5	6.1583972E-6	1.7425838E-5	2.0514387E-6	9.6039796E-6	1.1306185E-6	9.7528266E-6	1.1481414E-6
5955	0.011773537	0.0024811167	5.2898118E-5	0.007289079	0.0020896622	0.011785198	0.0071320028		5.1075326E-5	6.0127896E-6	5.2301528E-5	6.1571429E-6	1.7422289E-5	2.0510208E-6	9.6020235E-6	1.1303882E-6	9.7508401E-6	1.1479075E-6
5958.75	0.011570011	0.0025356922	1.1820039E-5	0.0072619244	0.0020737421	0.011763465	0.007121065		5.1064921E-5	6.0115646E-6	5.2290873E-5	6.1558885E-6	1.741874E-5	2.050603E-6	9.6000673E-6	1.1301579E-6	9.7488537E-6	1.1476736E-6
5962.5	0.011812273	0.0024651966	-2.3962237E-6	0.0072421441	0.0020324777	0.011741782	0.0071101494		5.1054516E-5	6.0103397E-6	5.2280218E-5	6.1546342E-6	1.741519E-5	2.0501851E-6	9.5981112E-6	1.1299276E-6	9.7468673E-6	1.1474398E-6
5966.25	0.011581591	0.0024360985	8.9423798E-5	0.0070372595	0.0020596589	0.011720148	0.0070992559		5.1044111E-5	6.0091147E-6	5.2269563E-5	6.1533798E-6	1.7411641E-5	2.0497673E-6	9.596155E-6	1.1296974E-6	9.7448808E-6	1.1472059E-6
5970	0.0115165	0.0026978748	9.0089353E-5	0.0068083617	0.0019366377	0.011698564	0.0070883845		5.1033705E-5	6.0078897E-6	5.2258907E-5	6.1521254E-6	1.7408092E-5	2.0493494E-6	9.5941988E-6	1.1294671E-6	9.7428942E-6	1.1469721E-6
5973.75	0.01175783	0.0027916116	6.4106071E-5	0.006912987	0.0018287911	0.011677028	0.0070775351		5.1023299E-5	6.0066647E-6	5.2248251E-5	6.1508709E-6	1.7404542E-5	2.0489316E-6	9.5922424E-6	1.1292367E-6	9.7409075E-6	1.1467382E-6
5977.5	0.011532207	0.0026444972	1.4508883E-5	0.007055336	0.001900538	0.011655542	0.0070667075		5.1012892E-5	6.0054395E-6	5.2237594E-5	6.1496164E-6	1.7400992E-5	2.0485136E-6	9.590286E-6	1.1290064E-6	9.7389207E-6	1.1465043E-6
5981.25	0.011749178	0.0025714459	-5.894181E-5	0.007026158	0.0019354929	0.011634105	0.0070559018		5.1002484E-5	6.0042143E-6	5.2226937E-5	6.1483617E-6	1.7397442E-5	2.0480957E-6	9.5883293E-6	1.1287761E-6	9.7369338E-6	1.1462704E-6
5985	0.012009677	0.0024856158	-1.0356266E-5	0.0069191367	0.0019046112	0.011612717	0.0070451178		5.0992075E-5	6.0029889E-6	5.2216278E-5	6.1471069E-6	1.7393891E-5	2.0476777E-6	9.5863725E-6	1.1285457E-6	9.7349466E-6	1.1460364E-6
5988.75	0.011790975	0.0025218487	8.1011178E-5	0.0070839549	0.0019322983	0.011591377	0.0070343554		5.0981665E-5	6.0017634E-6	5.2205618E-5	6.145852E-6	1.739034E-5	2.0472597E-6	9.5844154E-6	1.1283153E-6	9.7329592E-6	1.1458025E-6
5992.5	0.011731075	0.002718507	-2.7926928E-5	0.0070937252	0.0019858888	0.011570086	0.0070236147		5.0971254E-5	6.0005377E-6	5.2194957E-5	6.1445969E-6	1.7386789E-5	2.0468416E-6	9.5824581E-6	1.1280849E-6	9.7309716E-6	1.1455685E-6
5996.25	0.011441159	0.0024913396	-0.0001299965	0.0070279683	0.0019109206	0.011548843	0.0070128954		5.0960841E-5	5.9993119E-6	5.2184294E-5	6.1433416E-6	1.7383237E-5	2.0464235E-6	9.5805005E-6	1.1278544E-6	9.7289836E-6	1.1453345E-6
6000	0.011405885	0.0023239924	-3.9955758E-7	0.0070344109	0.0018758059	0.011527648	0.0070021975		5.0950426E-5	5.9980859E-6	5.2173629E-5	6.1420862E-6	1.7379684E-5	2.0460052E-6	9.5785426E-6	1.127624E-6	9.7269954E-6	1.1451004E-6
6003.75	0.011831707	0.0025966571	8.1064422E-5	0.0069777056	0.0020021816	0.0115065	0.006991521		5.094001E-5	5.9968596E-6	5.2162963E-5	6.1408305E-6	1.7376131E-5	2.045587E-6	9.5765844E-6	1.1273934E-6	9.7250068E-6	1.1448663E-6
6007.5	0.01193966	0.0026389864	4.871843E-5	0.0071626501	0.0018214966	0.011485401	0.0069808657		5.0929592E-5	5.9956331E-6	5.2152294E-5	6.1395745E-6	1.7372578E-5	2.0451686E-6	9.5746258E-6	1.1271628E-6	9.7230178E-6	1.1446321E-6
6011.25	0.011451142	0.002387087	4.3367365E-5	0.0073408859	0.0016772042	0.011464349	0.0069702316		5.0919171E-5	5.9944064E-6	5.2141624E-5	6.1383183E-6	1.7369023E-5	2.0447501E-6	9.5726668E-6	1.1269322E-6	9.7210284E-6	1.1443979E-6
6015	0.011126085	0.0022533636	4.1903143E-5	0.0071266303	0.0017919726	0.011443344	0.0069596187		5.0908748E-5	5.9931794E-6	5.2130951E-5	6.1370619E-6	1.7365468E-5	2.0443316E-6	9.5707073E-6	1.1267015E-6	9.7190386E-6	1.1441637E-6
6018.75	0.011374337	0.0023933166	1.4908216E-5	0.0070857652	0.0018627078	0.011422387	0.0069490267		5.0898323E-5	5.9919521E-6	5.2120275E-5	6.1358051E-6	1.7361912E-5	2.0439129E-6	9.5687474E-6	1.1264708E-6	9.7170483E-6	1.1439294E-6
6022.5	0.011140861	0.0025700349	-4.1930214E-5	0.0070873093	0.0019389006	0.011401477	0.0069384558		5.0887895E-5	5.9907244E-6	5.2109597E-5	6.134548E-6	1.7358354E-5	2.0434942E-6	9.566787E-6	1.12624E-6	9.7150575E-6	1.143695E-6
6026.25	0.011185187	0.0026554922	1.7969771E-5	0.0069020719	0.002017516	0.011380614	0.0069279057		5.0877464E-5	5.9894965E-6	5.2098916E-5	6.1332906E-6	1.7354796E-5	2.0430753E-6	9.564826E-6	1.1260092E-6	9.7130662E-6	1.1434606E-6
