H	Ext	Back	LR	SR	Back_sp	LR_sp	SR_sp	
1383.75	5.3126045E-5	2.8864497E-6	18.405325	3.0019986	2.8465277E-6	18.663456	2.9743092	
1387.5	5.3198232E-5	2.8812699E-6	18.463467	2.9987889	2.8661786E-6	18.560683	2.9883198	
1391.25	5.2515783E-5	2.8559392E-6	18.388271	2.9815967	2.8877285E-6	18.185845	3.0036538	
1395	5.3164318E-5	2.8981507E-6	18.344221	3.0112716	2.9043982E-6	18.304762	3.0156073	
1398.75	6.0088876E-5	2.9266862E-6	20.531369	3.0314657	2.9194501E-6	20.582258	3.026443	
1402.5	6.9272165E-5	2.936793E-6	23.587691	3.038874	2.935752E-6	23.596055	3.0381513	
1406.25	6.7256257E-5	2.9365142E-6	22.903433	3.0390743	2.9491596E-6	22.805228	3.0478551	
1410	6.3542872E-5	2.9268248E-6	21.710514	3.0327396	2.9621753E-6	21.451422	3.0572912	
1413.75	6.3391767E-5	2.9822295E-6	21.256502	3.0716211	2.9773136E-6	21.291599	3.0682062	
1417.5	6.2593681E-5	3.0213465E-6	20.717147	3.0992022	2.9915311E-6	20.923627	3.0784867	
1421.25	6.7574789E-5	3.0062701E-6	22.47795	3.0891344	3.0037432E-6	22.49686	3.0873784	
1425	7.4136454E-5	3.0209146E-6	24.541063	3.0997214	3.0142113E-6	24.595639	3.0950622	
1428.75	7.6118429E-5	3.019229E-6	25.211214	3.0989608	3.0235373E-6	25.17529	3.1019559	
