H	Ext	Back	LR	SR	
843.75	4.1113256E-5	8.2226512E-7	50	1.5546746	
847.5	4.0544555E-5	8.108911E-7	50	1.5471082	
851.25	4.0291369E-5	8.0582738E-7	50	1.543797	
855	3.9972872E-5	7.9945744E-7	50	1.5396027	
858.75	3.9559578E-5	7.9119156E-7	50	1.5341267	
862.5	3.9490094E-5	7.8980188E-7	50	1.5332913	
866.25	3.9175723E-5	7.8351446E-7	50	1.5291478	
870	3.851189E-5	7.702378E-7	50	1.5202813	
873.75	3.8104502E-5	7.6209003E-7	50	1.5148765	
877.5	3.7799759E-5	7.5599518E-7	50	1.5108567	
881.25	3.734505E-5	7.4690099E-7	50	1.5048081	
885	3.6935699E-5	7.3871397E-7	50	1.4993703	
888.75	3.674899E-5	7.349798E-7	50	1.496941	
892.5	3.6488409E-5	7.2976817E-7	50	1.4935116	
896.25	3.5927904E-5	7.1855809E-7	50	1.4860235	
900	3.5282752E-5	7.0565503E-7	50	1.4773871	
903.75	3.4824868E-5	6.9649736E-7	50	1.4712817	
907.5	3.4522805E-5	6.9045611E-7	50	1.467283	
911.25	3.4128423E-5	6.8256846E-7	50	1.4620329	
915	3.3720709E-5	6.7441417E-7	50	1.4566003	
918.75	3.3386468E-5	6.6772936E-7	50	1.4521606	
922.5	3.3079532E-5	6.6159064E-7	50	1.4480891	
926.25	3.2735354E-5	6.5470707E-7	50	1.4435115	
930	3.2390378E-5	6.4780756E-7	50	1.4389213	
933.75	3.1917313E-5	6.3834626E-7	50	1.4325933	
937.5	3.1364232E-5	6.2728463E-7	50	1.4251783	
941.25	3.0895223E-5	6.1790447E-7	50	1.4189003	
945	3.0611563E-5	6.1223127E-7	50	1.4151335	
948.75	3.0259051E-5	6.0518103E-7	50	1.4104315	
952.5	2.9801697E-5	5.9603394E-7	50	1.4043053	
956.25	2.9604731E-5	5.9209461E-7	50	1.4017101	
960	2.9515649E-5	5.9031299E-7	50	1.4005781	
963.75	2.924852E-5	5.8497041E-7	50	1.3970288	
967.5	2.895343E-5	5.7906859E-7	50	1.3930985	
971.25	2.8652962E-5	5.7305924E-7	50	1.3890938	
975	2.8271819E-5	5.6543638E-7	50	1.3839917	
978.75	2.8021037E-5	5.6042073E-7	50	1.3806587	
982.5	2.7882451E-5	5.5764901E-7	50	1.3788489	
986.25	2.7578453E-5	5.5156906E-7	50	1.3747904	
990	2.7260252E-5	5.4520504E-7	50	1.3705374	
993.75	2.7112303E-5	5.4224607E-7	50	1.3685973	
997.5	2.705109E-5	5.410218E-7	50	1.3678359	
1001.25	2.7201201E-5	5.4402401E-7	50	1.3699483	
1005	2.7253274E-5	5.4506548E-7	50	1.370728	
1008.75	2.6879808E-5	5.3759617E-7	50	1.3657182	
1012.5	2.6774927E-5	5.3549854E-7	50	1.3643614	
1016.25	2.7040027E-5	5.4080054E-7	50	1.36804	
1020	2.6997497E-5	5.3994993E-7	50	1.367532	
1023.75	2.670033E-5	5.340066E-7	50	1.3635566	
1027.5	2.6740398E-5	5.3480797E-7	50	1.3641725	
1031.25	2.69622E-5	5.3924401E-7	50	1.367264	
1035	2.6972513E-5	5.3945026E-7	50	1.3674754	
1038.75	2.69111E-5	5.3822199E-7	50	1.3667095	
1042.5	2.7148504E-5	5.4297009E-7	50	1.370016	
1046.25	2.7417829E-5	5.4835659E-7	50	1.3737588	
1050	2.7431177E-5	5.4862353E-7	50	1.374013	
1053.75	2.7485767E-5	5.4971534E-7	50	1.3748297	
1057.5	2.776054E-5	5.5521079E-7	50	1.3786499	
1061.25	2.8100322E-5	5.6200645E-7	50	1.3833586	
1065	2.832863E-5	5.665726E-7	50	1.3865479	
1068.75	2.8529308E-5	5.7058615E-7	50	1.3893614	
